operator,publication,site,proxy,depth,age,run,TEX86,BAY.LOW,BAY.MED,BAY.HIGH,subBAY.LOW,subBAY.MED,subBAY.HIGH,1302,1300,1298,1296,1292,1292',1050-tot,1036-tot,1022,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,9.04,0.99,LC22020000027,0.39,-1.55,7.28,14.44,-3.00,3.97,10.75,5.59E+07,5.14E+06,2.19E+06,3.53E+05,5.46E+07,7.44E+05,393010.00,210455.20,325385.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,9.28,1.04,LC22060000129,0.42,0.92,9.26,16.17,-0.78,5.98,12.84,1.73E+07,2.00E+06,9.53E+05,1.35E+05,1.81E+07,3.37E+05,600092.00,67450.70,234156.70,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,9.53,1.09,LC22030000032,0.38,-2.57,6.45,13.72,-3.94,3.17,9.85,2.57E+06,2.80E+05,1.18E+05,2.06E+04,2.49E+06,3.18E+04,57479.00,14047.98,28772.60,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,9.83,1.16,LC22060000019,0.41,0.43,8.85,15.84,-1.35,5.52,12.30,8.58E+07,1.18E+07,5.59E+06,8.44E+05,9.69E+07,1.77E+06,1769660.40,498422.30,1072102.80,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,10.08,1.23,LC22020000032,0.46,5.12,12.82,19.67,2.93,9.54,16.80,1.52E+07,1.92E+06,1.04E+06,1.42E+05,1.71E+07,4.77E+05,549346.00,115633.60,181813.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,10.39,1.31,LC22060000022,0.37,-3.11,6.02,13.27,-4.47,2.70,9.37,1.12E+08,1.19E+07,4.64E+06,9.14E+05,1.10E+08,1.51E+06,1263280.10,412734.70,820247.50,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,10.67,1.37,LC22020000026,0.40,-0.67,8.00,15.04,-2.21,4.66,11.44,3.47E+07,3.90E+06,1.73E+06,2.96E+05,3.36E+07,5.61E+05,438462.00,199051.30,286140.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,10.93,1.42,LC22060000028,0.45,4.33,12.15,18.95,2.19,8.83,16.03,1.56E+07,1.98E+06,1.05E+06,1.43E+05,1.67E+07,4.45E+05,356234.90,94619.30,187696.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,11.19,1.46,LC22030000031,0.38,-2.58,6.48,13.63,-3.95,3.15,9.92,5.62E+07,6.23E+06,2.52E+06,4.11E+05,5.34E+07,8.81E+05,612548.00,186068.90,376365.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,11.45,1.50,LC22060000042,0.40,-0.41,8.14,15.23,-2.11,4.81,11.59,6.73E+07,7.33E+06,3.36E+06,5.42E+05,6.91E+07,9.93E+05,940430.50,263031.50,518905.80,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,11.71,1.54,LC22020000025,0.39,-1.76,7.16,14.31,-3.10,3.85,10.61,7.88E+07,8.51E+06,3.64E+06,5.65E+05,7.73E+07,1.20E+06,654407.00,277878.00,459868.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,12.04,1.59,LC22060000148,0.42,1.57,9.82,16.72,-0.29,6.50,13.45,9.26E+07,1.21E+07,6.12E+06,8.98E+05,9.88E+07,1.86E+06,1614961.30,358688.30,610356.10,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,12.30,1.61,LC22020000028,0.42,1.58,9.80,16.67,-0.25,6.49,13.41,2.36E+07,2.67E+06,1.29E+06,2.33E+05,2.36E+07,4.26E+05,317182.00,121808.70,218840.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,12.56,1.63,LC22060000113,0.44,2.90,10.94,17.79,0.94,7.68,14.72,7.65E+07,1.02E+07,5.27E+06,7.65E+05,9.44E+07,1.92E+06,1307773.70,346103.30,685139.20,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,12.83,1.65,LC22020000029,0.50,8.42,15.80,23.02,5.98,12.54,20.43,1.17E+07,1.74E+06,1.11E+06,1.40E+05,1.46E+07,5.08E+05,569789.00,90446.20,159987.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,13.08,1.66,LC22060000024,0.38,-2.50,6.56,13.73,-3.85,3.26,9.98,1.42E+07,1.56E+06,6.20E+05,1.13E+05,1.42E+07,2.23E+05,222722.10,51490.50,128802.40,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,13.38,1.67,LC22030000028,0.42,1.55,9.82,16.68,-0.27,6.49,13.42,1.42E+07,1.91E+06,9.60E+05,1.55E+05,1.56E+07,2.89E+05,162553.60,70332.90,123245.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,13.64,1.68,LC22060000116,0.40,-0.42,8.12,15.19,-2.16,4.85,11.65,6.99E+07,7.64E+06,3.41E+06,5.73E+05,7.62E+07,1.15E+06,1006431.60,328408.80,629892.60,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,13.93,1.69,LC22030000029,0.41,0.86,9.19,16.13,-0.92,5.92,12.82,4.59E+06,5.78E+05,2.69E+05,4.44E+04,4.84E+06,9.62E+04,103366.30,29896.80,56903.20,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,14.19,1.72,LC22060000131,0.43,1.92,10.12,16.98,0.10,6.81,13.81,1.17E+07,1.31E+06,6.74E+05,1.07E+05,1.24E+07,1.97E+05,192799.50,67907.00,91115.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,14.45,1.75,LC22020000031,0.39,-1.11,7.59,14.69,-2.64,4.29,11.11,3.61E+07,4.33E+06,2.01E+06,2.79E+05,3.71E+07,5.32E+05,180981.30,104373.40,202297.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,14.71,1.79,LC22060000142,0.41,0.66,9.09,16.03,-0.98,5.86,12.70,2.58E+07,2.65E+06,1.20E+06,2.17E+05,2.72E+07,4.61E+05,710477.30,121817.40,268079.30,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,15.04,1.83,LC22020000021,0.46,4.88,12.65,19.52,2.83,9.41,16.59,1.81E+07,2.47E+06,1.43E+06,1.81E+05,2.19E+07,4.99E+05,344367.00,96875.30,148106.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,15.31,1.87,LC22060000025,0.42,1.19,9.60,16.50,-0.50,6.29,13.20,2.32E+07,3.15E+06,1.71E+06,2.18E+05,2.55E+07,3.56E+05,245909.10,98463.80,196015.10,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,15.56,1.90,LC22020000023,0.35,-5.05,4.48,11.98,-6.20,1.15,7.86,5.60E+07,6.08E+06,2.45E+06,3.47E+05,5.29E+07,5.18E+05,472236.00,181342.30,308948.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,15.82,1.94,LC22060000041,0.45,3.73,11.61,18.40,1.62,8.37,15.44,2.59E+07,3.36E+06,1.70E+06,2.55E+05,2.87E+07,7.59E+05,345738.20,122362.10,269512.50,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,16.21,1.99,LC22030000030,0.44,3.02,11.05,17.85,1.07,7.73,14.73,8.55E+06,1.09E+06,5.61E+05,8.88E+04,9.84E+06,2.01E+05,67312.40,46530.00,67608.60,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,16.49,2.03,LC22060000031,0.43,2.66,10.68,17.54,0.74,7.39,14.44,1.12E+08,1.36E+07,6.38E+06,1.02E+06,1.27E+08,3.03E+06,1633166.80,770432.30,1359939.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,16.88,2.08,LC22020000024,0.43,2.11,10.28,17.13,0.23,6.97,13.91,2.83E+07,3.75E+06,1.90E+06,3.02E+05,3.10E+07,6.07E+05,294478.00,129281.70,186028.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,17.04,2.10,LC22060000130,0.40,-0.40,8.20,15.24,-1.98,4.90,11.70,3.42E+07,4.09E+06,1.79E+06,3.08E+05,3.57E+07,6.47E+05,300441.00,678519.10,257499.70,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,17.43,2.15,LC22030000017,0.45,4.18,11.99,18.80,2.09,8.76,15.94,1.83E+07,2.12E+06,1.19E+06,1.69E+05,1.99E+07,3.85E+05,299254.00,90513.70,160592.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,17.69,2.18,LC22060000090,0.43,2.01,10.21,17.04,0.18,6.93,13.86,1.67E+07,2.11E+06,1.03E+06,1.61E+05,1.87E+07,3.96E+05,371200.60,132786.40,199911.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,18.08,2.23,LC22030000025,0.45,3.73,11.63,18.48,1.66,8.31,15.49,1.29E+07,1.60E+06,8.35E+05,1.53E+05,1.42E+07,3.10E+05,521657.00,55520.30,161326.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,18.43,2.27,LC22060000135,0.41,0.54,8.98,15.91,-1.17,5.70,12.53,2.25E+07,2.20E+06,1.00E+06,1.97E+05,2.32E+07,3.40E+05,266870.10,65665.60,165396.70,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,18.80,2.31,LC22030000021,0.45,3.66,11.58,18.44,1.60,8.24,15.35,2.68E+07,3.10E+06,1.70E+06,3.49E+05,2.83E+07,4.49E+05,289933.00,148253.90,215857.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,19.06,2.34,LC22060000040,0.40,-0.52,8.11,15.12,-2.03,4.84,11.60,9.14E+07,7.45E+06,3.29E+06,6.66E+05,9.51E+07,1.04E+06,783304.60,378303.00,662119.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,19.45,2.38,LC22030000020,0.46,4.67,12.44,19.28,2.50,9.16,16.38,2.97E+07,3.58E+06,1.89E+06,3.41E+05,3.39E+07,7.95E+05,891595.00,177233.40,328196.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,19.71,2.41,LC22060000092,0.46,4.92,12.70,19.54,2.77,9.38,16.67,2.80E+07,3.28E+06,1.86E+06,2.75E+05,3.16E+07,6.79E+05,792581.50,222102.90,364766.60,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,20.14,2.45,LC22030000013,0.50,8.05,15.42,22.60,5.63,12.18,19.90,8.09E+06,1.07E+06,6.13E+05,8.65E+04,9.63E+06,3.65E+05,240771.50,30774.80,72180.20,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,20.43,2.47,LC22060000087,0.41,0.81,9.12,16.04,-1.01,5.84,12.65,1.08E+08,1.11E+07,5.16E+06,1.04E+06,1.14E+08,1.65E+06,1144713.00,518836.20,877865.30,,,,,,
SH,"Hou et al., 2022 CP",1168,TEX86,20.58,2.49,LC21040000038,0.37,-3.11,6.09,13.38,-4.34,2.78,9.49,4.90E+07,4.81E+06,1.94E+06,3.32E+05,5.04E+07,5.97E+05,281819.70,185576.50,324227.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,20.69,2.50,LC22060000144,0.42,1.18,9.58,16.45,-0.52,6.28,13.18,9.13E+06,9.68E+05,4.50E+05,8.79E+04,9.88E+06,1.63E+05,70745.80,41801.90,67139.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,20.95,2.52,LC22030000012,0.50,8.61,15.84,23.06,6.00,12.56,20.39,8.54E+06,1.07E+06,6.19E+05,9.82E+04,9.93E+06,3.68E+05,385855.00,81281.40,110981.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,21.21,2.54,LC22060000037,0.45,4.39,12.15,18.99,2.20,8.86,16.01,7.65E+07,9.79E+06,5.40E+06,7.39E+05,8.93E+07,1.98E+06,1282391.10,515100.80,823093.80,,,,,,
SH,"Hou et al., 2022 CP",1168,TEX86,21.43,2.56,LC21040000039,0.40,-0.74,7.93,14.99,-2.26,4.61,11.39,2.95E+07,3.25E+06,1.49E+06,2.16E+05,2.99E+07,4.34E+05,352361.00,180535.30,300395.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,21.54,2.57,LC22060000094,0.47,5.88,13.51,20.36,3.63,10.21,17.60,3.21E+07,4.01E+06,2.31E+06,3.59E+05,4.02E+07,9.20E+05,1526124.10,221660.10,322168.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,21.80,2.59,LC22030000018,0.51,9.13,16.39,23.75,6.62,13.17,21.16,2.94E+06,4.12E+05,2.61E+05,4.04E+04,3.66E+06,1.30E+05,367395.50,55864.70,95139.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,21.95,2.60,LC22060000093,0.46,5.04,12.75,19.55,2.87,9.45,16.74,2.00E+07,2.86E+06,1.66E+06,2.69E+05,2.52E+07,5.34E+05,910401.00,180153.10,245534.60,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,22.19,2.62,LC22030000033,0.44,2.74,10.76,17.60,0.78,7.46,14.51,2.39E+07,2.73E+06,1.34E+06,2.15E+05,2.60E+07,5.66E+05,333953.00,136873.70,243811.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,22.45,2.64,LC22060000134,0.38,-2.26,6.69,13.87,-3.70,3.42,10.19,5.50E+07,5.07E+06,2.11E+06,3.85E+05,5.52E+07,6.33E+05,1294797.50,324311.20,579468.40,,,,,,
