operator,publication,site,depth,proxy,age,uk37,BAY.LOW,BAY.MED,BAY.HIGH
ETH,"Guitián et al., 2021",1168,326.9,uk37,19.19504322,0.891714994,22.31180014,25.43603064,30.48248509
ETH,"Guitián et al., 2021",1168,330.0,uk37,19.40383609,0.879217716,21.90734841,24.93181434,29.54880901
ETH,"Guitián et al., 2021",1168,333.1,uk37,19.62755762,0.889571056,22.22525113,25.3130131,30.26581805
ETH,"Guitián et al., 2021",1168,334.32,uk37,19.72224745,0.864280517,21.39911049,24.34435939,28.62639873
SH,"Hou et al., 2022 CP",1168,335.46,uk37,19.81074838,0.822080256,20.08430466,22.91309342,26.18590167
ETH,"Guitián et al., 2021",1168,336.2,uk37,19.86609643,0.889571056,22.24738739,25.34956994,30.37822828
ETH,"Guitián et al., 2021",1168,339.3,uk37,20.12029016,0.864280517,21.40284197,24.36068271,28.42159595
ETH,"Guitián et al., 2021",1168,341.78,uk37,20.35183642,0.87644253,21.84786853,24.83310713,29.47952259
ETH,"Guitián et al., 2021",1168,343.9,uk37,20.54799641,0.840339386,20.68217238,23.51352945,27.11335841
SH,"Hou et al., 2022 CP",1168,345.06,uk37,20.66631135,0.852705184,21.01148761,23.92899576,27.78372431
ETH,"Guitián et al., 2021",1168,350.5,uk37,21.15449521,0.880133603,21.94049228,24.96329868,29.60317283
ETH,"Guitián et al., 2021",1168,350.7,uk37,21.17060212,0.862767953,21.34250947,24.31804111,28.642337
SH,"Hou et al., 2022 CP",1168,355.03,uk37,21.49776223,0.863519258,21.4106615,24.33597974,28.53589907
ETH,"Guitián et al., 2021",1168,357.6,uk37,21.6560985,0.911810569,22.99817373,26.31797998,31.86688788
SH,"Hou et al., 2022 CP",1168,362.76,uk37,21.8694541,0.687195685,16.05017041,18.77944605,21.53589174
ETH,"Guitián et al., 2021",1168,364.4,uk37,21.91730524,0.806731845,19.64408294,22.41877402,25.50592851
ETH,"Guitián et al., 2021",1168,371.2,uk37,22.10220488,0.886011821,22.10173277,25.19385892,30.13047051
ETH,"Guitián et al., 2021",1168,382.4,uk37,22.3209314,0.825119409,20.21085127,23.00623178,26.29429271
ETH,"Guitián et al., 2021",1168,396.4,uk37,22.43500741,0.958925857,24.59181606,28.5275434,34.55819694
ETH,"Guitián et al., 2021",1168,408.2,uk37,22.45986079,0.903336494,22.72351006,25.92848731,31.2766784
ETH,"Guitián et al., 2021",1168,411.1,uk37,22.46481323,0.889556899,22.25090298,25.35527939,30.27107008
ETH,"Guitián et al., 2021",1168,413.592,uk37,22.47030468,0.925770746,23.43765224,26.92338462,32.73279697
ETH,"Guitián et al., 2021",1168,414.0,uk37,22.47139885,0.901685988,22.66518213,25.86635604,31.16674269
ETH,"Guitián et al., 2021",1168,421.0,uk37,22.50027845,0.885490749,22.11449077,25.20222792,30.13548684
ETH,"Guitián et al., 2021",1168,423.4,uk37,22.5167009,0.912060129,23.01471263,26.35076922,31.89139692
ETH,"Guitián et al., 2021",1168,425.8,uk37,22.53730912,0.876656848,21.81029339,24.83906412,29.44316116
ETH,"Guitián et al., 2021",1168,429.6,uk37,22.57931076,0.884237598,22.04526768,25.13660741,29.99704281
ETH,"Guitián et al., 2021",1168,434.291,uk37,22.65167876,0.911024524,22.95359787,26.25500143,31.76739989
ETH,"Guitián et al., 2021",1168,443.82,uk37,22.86453222,0.951253154,24.30252793,28.17401601,34.27268234
ETH,"Guitián et al., 2021",1168,448.7,uk37,22.98886125,0.84768099,20.8992707,23.77976799,27.5883959
ETH,"Guitián et al., 2021",1168,448.992,uk37,22.99742314,0.86900978,21.56792928,24.54044465,28.99708564
ETH,"Guitián et al., 2021",1168,464.7,uk37,23.45852808,0.907745866,22.87943477,26.10786433,31.48747594
ETH,"Guitián et al., 2021",1168,470.3,uk37,23.64348448,0.863274422,21.41692216,24.30639123,28.44410999
ETH,"Guitián et al., 2021",1168,472.1,uk37,23.70513618,0.904589323,22.73596023,25.96805582,31.26304943
ETH,"Guitián et al., 2021",1168,478.2,uk37,23.93729928,0.818670645,19.99541864,22.78524466,25.99835458
ETH,"Guitián et al., 2021",1168,484.3,uk37,24.20567555,0.920825692,23.28715992,26.69978928,32.32140629
ETH,"Guitián et al., 2021",1168,490.4,uk37,24.49690669,0.888496014,22.21161097,25.30189674,30.35713306
ETH,"Guitián et al., 2021",1168,496.5,uk37,24.80109225,0.900360032,22.62603755,25.82033831,31.05488389
ETH,"Guitián et al., 2021",1168,502.6,uk37,25.09989498,0.812293642,19.81575686,22.58967101,25.73340645
ETH,"Guitián et al., 2021",1168,508.7,uk37,25.38620646,0.828620704,20.31307409,23.13141428,26.55937711
ETH,"Guitián et al., 2021",1168,518.1,uk37,25.80012958,0.796359676,19.30975205,22.08577085,25.11060452
ETH,"Guitián et al., 2021",1168,527.8,uk37,26.22345573,0.836830035,20.54187979,23.40643986,26.9356194
ETH,"Guitián et al., 2021",1168,536.16,uk37,26.57663161,0.791589904,19.20888406,21.93299916,24.95492835
ETH,"Guitián et al., 2021",1168,537.6,uk37,26.63528068,0.756735968,18.13519331,20.87688153,23.69705285
ETH,"Guitián et al., 2021",1168,554,uk37,27.32216163,0.701879778,16.49533288,19.20522924,21.98258849
ETH,"Guitián et al., 2021",1168,567.492,uk37,27.85990653,0.739756906,17.59531116,20.3477979,23.16723478
ETH,"Guitián et al., 2021",1168,596.5,uk37,28.90139249,0.762710464,18.2978735,21.05583296,23.88422752
ETH,"Guitián et al., 2021",1168,624.1,uk37,29.54244351,0.710148963,16.70150402,19.46036575,22.24598107
